Interface,Neighbor IP Address,MAC Address,Type,Origin,Age,Protocol
GigabitEthernet1,10.10.20.48,0050.56bf.e33c,ARPA,static,-,Internet
GigabitEthernet1,10.10.20.254,0050.56bf.bf75,ARPA,dynamic,4,Internet
